X,Y,KKOD,TEXT,TEXTTYP
1860374.92870436,8442383.90323342,192,Buken,O
1860214.48055359,8442746.1090883,53,Ängsön,O
1861435.87270424,8442850.92968467,52,Hästholmen,O
1868905.04902581,8442227.11566469,52,Älgön,O
1868812.88863581,8443238.7626362,194,Korsälven,O
1862951.77636528,8435216.81692839,82,Alderbäcken,O
1863396.90816154,8435499.6964777,52,Brännberget,O
1864927.42082496,8435839.35776149,182,Måltidssjön,O
1867825.65584753,8435913.54604172,52,Lövnäsholmen,O
1867443.21615543,8437006.69372825,195,Östaviken,O
1864480.54121116,8437388.96965782,182,Östasjön,O
1869931.68832833,8437521.62070841,182,Linsjön,O
1863479.49706413,8438949.82455625,53,Svarvviksmossen,O
1861862.65155926,8439361.81655079,82,Tiån,O
1865421.92736317,8439556.45310271,54,Tinäset,O
1869972.77563071,8439652.13893248,1,Östaholm,O
1863383.34783146,8440226.55998928,192,Svarvviken,O
1868666.47711193,8440593.24437636,52,Sandreveln,O
1862863.78994134,8441228.62650873,51,Nordansjöholmen,O
1869408.29688973,8441539.46815674,52,Braskarön,O
1863899.3315373,8432401.42480935,52,Loberget,O
1866015.66702998,8428665.76159996,52,Stortegarna,O
1866959.97076543,8431138.20445693,52,Gräsholmen,O
1866927.61771547,8427689.50872834,82,Finnsbäcken,O
1867242.681793,8428822.39925989,84,Storån,O
1867539.1635378,8428141.94017469,52,Arnboäng,O
1866930.32155693,8429931.90078612,52,Bergaholmen,O
1868224.38101576,8434142.17319618,52,Aspängarna,O
1868781.15159703,8429191.84383173,52,Husberget,O
1868459.6856604,8431339.2871238,52,Stensänget,O
1870084.08458002,8429032.97520542,52,Husbyäng,O
1870600.79193262,8432005.16669926,192,Kolhusviken,O
1870364.88995103,8434814.03439757,4,Östa,O
1861388.28389745,8420019.15556948,83,Kölforsån,O
1864272.92893667,8420259.71027536,52,Källarberget,O
1867144.55764099,8420798.84032301,52,Ekedalsåsen,O
1863687.3701483,8420757.57880722,1,Vretbo,O
1865301.71164951,8421192.56996344,2,Norr Ekedal,O
1868978.56856105,8421360.97801486,52,Gottmossen,O
1861904.84718994,8421625.31668381,182,Lillsjön,O
1865366.20552563,8421874.91870945,1,Prästängen,O
1861229.38825658,8422628.21854293,1,Högsberga,O
1863000.22664517,8423251.73111995,83,Lillån,O
1868841.82982065,8423882.22104832,52,Näverkärret,O
1866834.06299538,8424592.58369333,52,Bofallet,O
1867837.54556658,8426368.33051364,182,Ormpussen,O
